OwnerUserId,Location
"13","Raleigh, NC, United States"
"22","Calgary, Canada"
"25","Seattle, Washington United States"
"27","Winchester, VA"
"40","Philadelphia, PA"
"45","United States"
"56","Groningen, Netherlands"
"58","Indianapolis, IN"
"61","Auckland, New Zealand"
"62","San Francisco, CA"
"63","Atlanta, GA"
"64","United States"
"73","United States"
"75","Baltimore, MD"
"78","Canada"
"85","United States"
"86","Denmark"
"87","Germany"
"91","Raleigh, NC, United States"
"92","California"
"96","Pittsburgh, PA"
"101","San Francisco, CA"
"109","Seattle, WA"
"111","Pittsburgh, PA"
"113","San Francisco, CA"
"115","Oregon, United States"
"116","Piedmont, CA"
"122","Sunnyvale, CA"
"142","Ireland"
"145","New York, NY"
"151","London, United Kingdom"
"170","Dublin, Ireland"
"172","Las Vegas, NV"
"184","Seattle, WA, United States"
"194","United States"
"198","Kerpen, Germany"
"199","Bristol, United Kingdom"
"204","United States"
"207","Houston, TX"
"209","Australia"
"214","United Kingdom"
"227","Istanbul, Turkey"
"230","London, United Kingdom"
"234","New Zealand"
"235","United States"
"243","Salt Lake City, UT"
"244","Montreal, Canada"
"246","Brisbane, Australia"
"253","London, United Kingdom"
"255","Boise, ID"
"260","Budapest, Hungary"
"264","Sydney, Australia"
"266","Esbo, Finland"
"268","Paris, France"
"270","Edinburgh, United Kingdom"
"273","Copenhagen, Denmark"
"274","United Kingdom"
"277","Ireland"
"282","Exeter, NH"
"287","United States"
"292","Pittsburgh, PA"
"300","Minneapolis, MN"
"302","New York, NY"
"304","United Kingdom"
"316","Pullman, WA"
"318","Elgin, IL"
"327","Orange County, California United States"
"337","Ventura, CA"
"338","United States"
"340","Richmond, VA, United States"
"342","United Kingdom"
"356","North Carolina"
"360","Atlanta, GA"
"361","Calgary, Canada"
"362","Indiana"
"381","London, United Kingdom"
"396","Winston-Salem, NC"
"404","Nashville, TN"
"406","United States"
"409","United States"
"419","Greater Perthshire, Scotland"
"420","Springfield, MO"
"422","Mountain View, CA"
"425","Leeds, AL"
"426","Australia"
"429","San Francisco, CA"
"431","Rio De Janeiro, Brazil"
"437","Waxhaw, NC, United States"
"459","United States"
"462","United States"
"472","Waterloo, ON, Canada"
"477","England, United Kingdom"
"479","Los Angeles, CA"
"482","Bangalore, Karnataka, India"
"484","New York, United States"
"486","Australia"
"488","Australia"
"493","Australia"
"501","Poland"
"506","Sarnia, Canada"
"518","Spain"
"536","Savage, MN"
"543","United States"
"557","Colorado Springs, CO"
"560","United States"
"571","Missoula, MT"
"572","Cambridge, MA, United States"
"573","Israel"
"577","Oakland, CA"
"578","Minsk, Belarus"
"609","Canada"
"625","Portland, OR"
"631","Ottawa, Canada"
"632","Boulder, CO"
"636","United States"
"646","Duvall, Washington United States"
"657","United States"
"670","United States"
"673","Philadelphia, PA"
"680","Walnut Creek, CA, United States"
"685","Earth, TX"
"686","Hungary"
"697","Perth, Australia"
"699","Sydney, Australia"
"700","Albany,  NY"
"706","Tartu, Tartu County Estonia"
"723","United States"
"725","Philadelphia, PA"
"728","Round Rock, TX, United States"
"729","United States"
"736","United States"
